CERT,STNAME,DOCKET,ACTIVE,ADDRESS,ASSET,CITY,COUNTY,DEP,INACTIVE,NAME,NEWCERT,ROA,ROAQ,ROE,ROEQ,ZIP
47,Alabama,16141,0,819 20th St,379039,Haleyville,Winston,348222,1,Traders & Farmers Bank,8870,-1.07114856,-3.06,-7.97,-25.42,35565
23551,Missouri,0,1,210 E. Us Highway 54,124035,El Dorado Springs,Cedar,105778,0,Community Bank of El Dorado Springs,0,2.089259041,2.1,14.15,14.28,64744
19742,Nebraska,12727,1,15750 W Dodge Rd,327605,Omaha,Douglas,276567,0,"First Westroads Bank, Inc.",0,1.088408974,1.07,9,8.67,68118
8728,Arkansas,10375,1,75 North East Street,27392450,Fayetteville,Washington,21248959,0,Arvest Bank,0,0.026384236,0.1,0.4,1.56,72701
34325,Illinois,0,0,1001 Lake Street,323259,Oak Park,Cook,285420,1,Community Bank of Oak Park River Forest,20624,1.277721499,1.28,12.48,12.48,60301
10327,Texas,0,1,200 S Magnolia Ave,69442,Luling,Caldwell,57972,0,Citizens State Bank of Luling,0,0.808323049,0.81,5.88,6,78648
34106,Oregon,14711,0,2002 N.E. Martin Luther King Jr Boulevard,180603,Portland,Multnomah,160992,1,Albina Community Bank,58490,-0.073846878,-0.54,-0.76,-5.69,97212
18576,Texas,0,1,306 W Wall St,537500,Midland,Midland,418236,0,Bank of Texas,0,3.789876218,3.29,30.82,26.66,79701
58586,North Dakota,0,1,908 Chief Little Shell Street,158152,Belcourt,Rolette,147992,0,Turtle Mountain State Bank,0,3.958419591,3.94,84.14,68.36,58316
22537,Alabama,13233,1,1912 Cherokee Ave Sw,1270042,Cullman,Cullman,1167920,0,Peoples Bank of Alabama,0,2.113626302,1.86,28.96,24.97,35055
29521,Ohio,3587,1,60 N Sandusky St,124926,Delaware,Delaware,101044,0,Fidelity Federal Savings and Loan Association of Delaware,0,-0.281029215,-0.87,-2.17,-6.88,43015
24551,Texas,0,0,6750 Bridge Street,563356,Fort Worth,Tarrant,461747,1,Woodhaven  Bank,20231,0.90148089,0.9,5.66,5.66,76112
28276,Missouri,1282,0,130 E Mc Carty St,23838,Jefferson City,Cole,22499,1,Home Savings Bank,12616,-2.930838845,-4.54,-47.1,-76.27,65102
15853,Kansas,0,1,412 W Commercial St,26083,Fairview,Brown,21906,0,The Farmers State Bank,0,0.533189218,0.71,6.18,7.92,66425
12531,Arkansas,0,1,500 N Jackson,234215,Magnolia,Columbia,166018,0,The Peoples Bank,0,0.743939189,1,6.79,9.17,71753
32282,California,8089,1,2514 Via Tejon,1553174,Palos Verdes Peninsula,Los Angeles,1003464,0,Malaga Bank F.S.B.,0,1.558203672,1.54,11.97,11.75,90274
20160,Arkansas,10310,0,3350 Pinnacle Hills Parkway  Suite 100,133565,Rogers,Benton,108240,1,Parkway Bank,17211,0.704119007,0.58,6.01,4.97,72758
364,Montana,13982,0,321 Central Avenue,200268,Fairfield,Teton,172490,1,Teton Banks,1520,2.073761332,2.25,17.62,18.45,59436
58671,Texas,18051,0,"12941 Gulf Freeway, Suite 100",455358,Houston,Harris,385762,1,"Texan Bank, National Association",28094,1.101039334,1.19,10.22,11.2,77034
21468,Florida,0,0,"100 Se 2nd Street, 32nd Floor",2969958,Miami,Miami-Dade,2079307,1,TotalBank,20234,1.081331133,1.08,6.4,6.4,33131
2068,Ohio,15551,1,127 N Main St,280693,Marion,Marion,221842,0,The Fahey Banking Company,0,0.848439409,0.49,4.79,2.79,43302
16179,Illinois,14220,0,606 Depot Street,81683,Mazon,Grundy,73053,1,Mazon State Bank,58769,-0.359447888,-1.18,-3.93,-12.65,60444
16778,Minnesota,0,1,278 2nd Ave E,40395,Franklin,Renville,34484,0,Franklin State Bank,0,0.731023935,0.59,5.77,4.64,55333
26442,Florida,0,1,3191 Coral Way,744986,Miami,Miami-Dade,672665,0,"Terrabank, National Association",0,0.495148347,0.34,8.57,5.99,33145
16780,Georgia,12612,1,5101 5th Ave,321188,Eastman,Dodge,291749,0,Great Oaks Bank,0,1.261932569,1.34,16.77,17.61,31023
9615,Alabama,15506,1,31385 Alabama Highway 10,115863,Sweet Water,Marengo,103432,0,Sweet Water State Bank,0,1.846460819,1.73,22.13,19.81,36782
2270,Utah,8926,1,1 S Main St,87269125,Salt Lake City,Salt Lake,75398809,0,"Zions Bancorporation, N.A.",0,0.837406135,0.8,14.28,13.19,84133
