CERT,Bank_Name,City,ST,Acquiring_Institution,Closing_Date,Updated_Date
34578,Chestatee State Bank,Dawsonville,GA,Bank of the Ozarks,2010-12-17,2015-09-21
19040,"The Bank of Miami,N.A.",Coral Gables,FL,1st United Bank,2010-12-17,2014-03-21
35561,Earthstar Bank,Southampton,PA,Polonia Bank,2010-12-10,2012-08-20
34673,Paramount Bank,Farmington Hills,MI,Level One Bank,2010-12-10,2015-09-21
5287,First Banking Center,Burlington,WI,First Michigan Bank,2010-11-19,2012-08-20
35078,Allegiance Bank of North America,Bala Cynwyd,PA,VIST Bank,2010-11-19,2017-07-26
20340,Gulf State Community Bank,Carrabelle,FL,Centennial Bank,2010-11-19,2016-12-12
35463,Copper Star Bank,Scottsdale,AZ,"Stearns Bank, N.A.",2010-11-12,2012-08-20
14580,Darby Bank & Trust Co.,Vidalia,GA,Ameris Bank,2010-11-12,2014-03-21
57831,Tifton Banking Company,Tifton,GA,Ameris Bank,2010-11-12,2014-03-21
57885,First Vietnamese American Bank,Westminster,CA,Grandpoint Bank,2010-11-05,2012-09-12
34411,Pierce Commercial Bank,Tacoma,WA,Heritage Bank,2010-11-05,2015-10-19
58087,Western Commercial Bank,Woodland Hills,CA,First California Bank,2010-11-05,2016-09-12
31263,K Bank,Randallstown,MD,Manufacturers and Traders Trust Company (M&T Bank),2010-11-05,2012-08-20
32582,"First Arizona Savings, A FSB",Scottsdale,AZ,No Acquirer,2010-10-22,2012-08-20
22173,Hillcrest Bank,Overland Park,KS,"Hillcrest Bank, N.A.",2010-10-22,2012-08-20
16089,First Suburban National Bank,Maywood,IL,Seaway Bank and Trust Company,2010-10-22,2012-08-20
2119,The First National Bank of Barnesville,Barnesville,GA,United Bank,2010-10-22,2015-10-17
33904,The Gordon Bank,Gordon,GA,Morris Bank,2010-10-22,2014-03-21
32251,Progress Bank of Florida,Tampa,FL,Bay Cities Bank,2010-10-22,2016-02-04
27573,First Bank of Jacksonville,Jacksonville,FL,Ameris Bank,2010-10-22,2014-03-21
34016,Premier Bank,Jefferson City,MO,Providence Bank,2010-10-15,2012-08-20
58205,WestBridge Bank and Trust Company,Chesterfield,MO,Midland States Bank,2010-10-15,2017-02-09
30898,"Security Savings Bank, F.S.B.",Olathe,KS,Simmons First National Bank,2010-10-15,2012-08-20
35250,Shoreline Bank,Shoreline,WA,GBC International Bank,2010-10-01,2012-08-20
21777,Wakulla Bank,Crawfordville,FL,Centennial Bank,2010-10-01,2014-03-21
35053,North County Bank,Arlington,WA,Whidbey Island Bank,2010-09-24,2016-04-12
58308,Haven Trust Bank Florida,Ponte Vedra Beach,FL,First Southern Bank,2010-09-24,2016-07-11
28612,Maritime Savings Bank,West Allis,WI,"North Shore Bank, FSB",2010-09-17,2012-08-20
27808,Bramble Savings Bank,Milford,OH,Foundation Bank,2010-09-17,2012-08-20
182,The Peoples Bank,Winder,GA,Community & Southern Bank,2010-09-17,2016-05-04
57448,First Commerce Community Bank,Douglasville,GA,Community & Southern Bank,2010-09-17,2016-05-04
58197,Bank of Ellijay,Ellijay,GA,Community & Southern Bank,2010-09-17,2016-06-06
57107,ISN Bank,Cherry Hill,NJ,Customers Bank,2010-09-17,2017-06-28
35061,Horizon Bank,Bradenton,FL,Bank of the Ozarks,2010-09-10,2014-03-21
27259,Sonoma Valley Bank,Sonoma,CA,Westamerica Bank,2010-08-20,2012-09-12
32165,Los Padres Bank,Solvang,CA,Pacific Western Bank,2010-08-20,2012-09-12
33219,Butte Community Bank,Chico,CA,"Rabobank, N.A.",2010-08-20,2012-09-12
27090,Pacific State Bank,Stockton,CA,"Rabobank, N.A.",2010-08-20,2012-09-12
15640,ShoreBank,Chicago,IL,Urban Partnership Bank,2010-08-20,2013-05-16
31623,Imperial Savings and Loan Association,Martinsville,VA,"River Community Bank, N.A.",2010-08-20,2012-08-24
27344,Independent National Bank,Ocala,FL,"CenterState Bank of Florida, N.A.",2010-08-20,2016-10-20
25266,Community National Bank at Bartow,Bartow,FL,"CenterState Bank of Florida, N.A.",2010-08-20,2016-07-11
17599,Palos Bank and Trust Company,Palos Heights,IL,First Midwest Bank,2010-08-13,2012-08-22
34231,Ravenswood Bank,Chicago,IL,Northbrook Bank & Trust Company,2010-08-06,2012-08-22
31964,LibertyBank,Eugene,OR,Home Federal Bank,2010-07-30,2012-08-22
22643,The Cowlitz Bank,Longview,WA,Heritage Bank,2010-07-30,2012-08-22
9619,Coastal Community Bank,Panama City Beach,FL,Centennial Bank,2010-07-30,2017-02-09
57669,Bayside Savings Bank,Port Saint Joe,FL,Centennial Bank,2010-07-30,2016-12-12
57658,Northwest Bank & Trust,Acworth,GA,State Bank and Trust Company,2010-07-30,2015-09-21
23181,Home Valley Bank,Cave Junction,OR,South Valley Bank & Trust,2010-07-23,2012-09-12
35434,SouthwestUSA Bank,Las Vegas,NV,Plaza Bank,2010-07-23,2012-08-22
34486,Community Security Bank,New Prague,MN,Roundbank,2010-07-23,2016-02-04
10506,Thunder Bank,Sylvan Grove,KS,The Bennington State Bank,2010-07-23,2012-09-13
17837,Williamsburg First National Bank,Kingstree,SC,"First Citizens Bank and Trust Company, Inc.",2010-07-23,2016-10-20
27559,Crescent Bank and Trust Company,Jasper,GA,Renasant Bank,2010-07-23,2014-03-21
