Cert,Report_Period,Institution_Name,City,State,Class,Total_Assets,Total_Deposits
11063,20230930,FIRST-CITIZENS BANK & TRUST COMPANY,RALEIGH,NC,NM,213642853,146422550
11112,20230930,SOMERSET TRUST COMPANY,SOMERSET,PA,NM,2103137,1813561
11113,20230930,HAMLIN BANK AND TRUST COMPANY,SMETHPORT,PA,NM,425291,328112
11124,20230930,S&T BANK,INDIANA,PA,NM,9459752,7242087
11133,20230930,FARMERS STATE BANK OF CANTON,CANTON,SD,NM,60631,51980
11159,20230930,TEXAS CHAMPION BANK,CORPUS CHRISTI,TX,NM,430038,305901
11175,20230930,THE FIRST STATE BANK,ABERNATHY,TX,NM,88287,60376
11178,20230930,"TRANSPECOS BANKS, SSB",PECOS,TX,SI,748433,624277
11181,20230930,FIRST STATE BANK OF BROWNSBORO,BROWNSBORO,TX,NM,126696,121384
11225,20230930,FIRST COMMUNITY BANK,MILTON,WI,NM,137235,122064
11228,20230930,FIRST CITIZENS STATE BANK,WHITEWATER,WI,NM,430348,304219
11232,20230930,BANK OF MILTON,MILTON,WI,NM,171164,160904
11235,20230930,BONDUEL STATE BANK,BONDUEL,WI,NM,99330,86219
11236,20230930,HORICON BANK,HORICON,WI,NM,1488786,1321655
11241,20230930,CENTENNIAL BANK,CONWAY,AR,SM,21879575,16983263
11242,20230930,MCGEHEE BANK,MCGEHEE,AR,NM,158148,119787
11243,20230930,BANK OF SALEM,SALEM,AR,SM,178453,159020
11252,20230930,THE FIRST NATIONAL BANK OF IZARD COUNTY,CALICO ROCK,AR,N,200739,139169
11259,20230930,THE GUNNISON BANK AND TRUST COMPANY,GUNNISON,CO,SM,234614,189495
11261,20230930,MCCLAVE STATE BANK,MCCLAVE,CO,NM,63966,52559
11295,20230930,THE CITIZENS BANK OF SWAINSBORO,SWAINSBORO,GA,NM,325683,288213
11299,20230930,"FARMERS STATE BANK OF ALTO PASS, ILL.",ALTO PASS,IL,NM,346109,304187
11300,20230930,OAKDALE STATE BANK,OAKDALE,IL,NM,25166,21915
11302,20230930,FIRST STATE BANK OF ST. PETER,SAINT PETER,IL,SM,32194,27721
11306,20230930,FNBC BANK & TRUST,LA GRANGE,IL,NM,565072,525640
11307,20230930,FARMERS STATE BANK,PITTSFIELD,IL,NM,310682,266602
11310,20230930,THE BANK OF HERRIN,HERRIN,IL,NM,314238,285480
11317,20230930,THE IUKA STATE BANK,SALEM,IL,SM,140923,112314
11319,20230930,LONGVIEW COMMUNITY BANK,MOUNT PULASKI,IL,NM,96244,81004
11324,20230930,FARMERS AND MERCHANTS STATE BANK OF BUSHNELL,BUSHNELL,IL,NM,89942,84638
11329,20230930,FARMERS-MERCHANTS BANK OF ILLINOIS,JOY,IL,NM,367273,247340
11343,20230930,ASHTON STATE BANK,ASHTON,IA,NM,52190,41866
11347,20230930,GRINNELL STATE BANK,GRINNELL,IA,NM,461087,364996
11351,20230930,PEOPLES TRUST AND SAVINGS BANK,RIVERSIDE,IA,NM,32422,26061
11352,20230930,SANBORN SAVINGS BANK,SANBORN,IA,NM,83402,63014
11355,20230930,BEDFORD LOAN & DEPOSIT BANK,BEDFORD,KY,NM,115004,95998
11358,20230930,"CUMBERLAND SECURITY BANK, INC.",SOMERSET,KY,NM,331410,288309
11406,20230930,THE STATE BANK,FENTON,MI,NM,1744250,1402099
11407,20230930,HIGHPOINT COMMUNITY BANK,HASTINGS,MI,NM,587070,536129
11409,20230930,VALLEY PREMIER BANK,HAWLEY,MN,NM,131063,123733
11411,20230930,RUSHFORD STATE BANK (INCORPORATED),RUSHFORD,MN,NM,100027,90214
11415,20230930,HARVEST BANK,KIMBALL,MN,NM,223873,203991
11417,20230930,WELCOME STATE BANK,WELCOME,MN,SM,41770,37410
11431,20230930,BANK OF YAZOO CITY,YAZOO CITY,MS,NM,315195,273723
